long,lat,species,animal
-115.167317,49.431523,Ursus arctos,Amelie
-115.16325,49.431727,Ursus arctos,Amelie
-115.16212,49.430885,Ursus arctos,Amelie
-115.164578,49.430042,Ursus arctos,Amelie
-115.172262,49.425928,Ursus arctos,Amelie
-115.183962,49.429477,Ursus arctos,Amelie
-115.1823,49.43146,Ursus arctos,Amelie
-115.182243,49.43126,Ursus arctos,Amelie
-115.181843,49.43106,Ursus arctos,Amelie
-115.182293,49.431225,Ursus arctos,Amelie
-115.183108,49.432913,Ursus arctos,Amelie
-115.184472,49.434257,Ursus arctos,Amelie
-115.18258,49.433942,Ursus arctos,Amelie
-115.175748,49.431933,Ursus arctos,Amelie
-115.175715,49.427245,Ursus arctos,Amelie
-115.176423,49.424635,Ursus arctos,Amelie
-115.182033,49.429873,Ursus arctos,Amelie
-115.181318,49.436968,Ursus arctos,Amelie
-115.182568,49.435722,Ursus arctos,Amelie
-115.18256,49.435717,Ursus arctos,Amelie
-115.182883,49.435812,Ursus arctos,Amelie
-115.188997,49.43399,Ursus arctos,Amelie
-115.184712,49.4359,Ursus arctos,Amelie
-115.18041,49.444842,Ursus arctos,Amelie
-115.180473,49.449162,Ursus arctos,Amelie
-115.180145,49.450125,Ursus arctos,Amelie
-115.181525,49.450447,Ursus arctos,Amelie
-115.181843,49.453357,Ursus arctos,Amelie
-115.191842,49.453457,Ursus arctos,Amelie
-115.196307,49.454118,Ursus arctos,Amelie
-115.196335,49.453892,Ursus arctos,Amelie
-115.195932,49.453808,Ursus arctos,Amelie
-115.196447,49.453858,Ursus arctos,Amelie
-115.205712,49.453202,Ursus arctos,Amelie
-115.215878,49.448512,Ursus arctos,Amelie
-115.224022,49.447642,Ursus arctos,Amelie
-115.228825,49.438213,Ursus arctos,Amelie
-115.229563,49.438828,Ursus arctos,Amelie
-115.233473,49.438128,Ursus arctos,Amelie
-115.225757,49.427942,Ursus arctos,Amelie
-115.218287,49.425517,Ursus arctos,Amelie
-115.21348,49.423682,Ursus arctos,Amelie
-115.213513,49.424005,Ursus arctos,Amelie
-115.213837,49.424188,Ursus arctos,Amelie
-115.213697,49.424327,Ursus arctos,Amelie
-115.213472,49.424942,Ursus arctos,Amelie
-115.21326,49.424793,Ursus arctos,Amelie
-115.215192,49.423447,Ursus arctos,Amelie
-115.215883,49.422048,Ursus arctos,Amelie
-115.17421,49.424173,Ursus arctos,Amelie
-115.151903,49.43869,Ursus arctos,Amelie
-115.169897,49.438282,Ursus arctos,Amelie
-115.18108,49.43329,Ursus arctos,Amelie
-115.180673,49.434712,Ursus arctos,Amelie
-115.18036,49.434795,Ursus arctos,Amelie
-115.180482,49.43446,Ursus arctos,Amelie
-115.180873,49.434962,Ursus arctos,Amelie
-115.180833,49.434857,Ursus arctos,Amelie
-115.180892,49.436488,Ursus arctos,Amelie
-115.184862,49.432222,Ursus arctos,Amelie
-115.175833,49.430673,Ursus arctos,Amelie
-115.169125,49.4306,Ursus arctos,Amelie
-115.166237,49.430102,Ursus arctos,Amelie
-115.16146,49.421655,Ursus arctos,Amelie
-115.12117,49.418892,Ursus arctos,Amelie
-115.097662,49.423693,Ursus arctos,Amelie
-115.097255,49.423893,Ursus arctos,Amelie
-115.097212,49.423283,Ursus arctos,Amelie
-115.097637,49.423447,Ursus arctos,Amelie
-115.095085,49.422318,Ursus arctos,Amelie
-115.09078,49.420552,Ursus arctos,Amelie
-115.073812,49.401947,Ursus arctos,Amelie
-115.104963,49.390248,Ursus arctos,Amelie
-115.104633,49.390282,Ursus arctos,Amelie
-115.10485,49.390248,Ursus arctos,Amelie
-115.104978,49.390613,Ursus arctos,Amelie
-115.104422,49.390482,Ursus arctos,Amelie
-115.104407,49.390553,Ursus arctos,Amelie
-115.104568,49.39038,Ursus arctos,Amelie
-115.104602,49.390482,Ursus arctos,Amelie
-115.10433,49.390768,Ursus arctos,Amelie
-115.104568,49.390493,Ursus arctos,Amelie
-115.12643,49.408223,Ursus arctos,Amelie
-115.162622,49.431135,Ursus arctos,Amelie
-115.168162,49.430333,Ursus arctos,Amelie
-115.168947,49.42967,Ursus arctos,Amelie
-115.16896,49.427782,Ursus arctos,Amelie
-115.171397,49.425015,Ursus arctos,Amelie
-115.177437,49.423933,Ursus arctos,Amelie
-115.180827,49.42339,Ursus arctos,Amelie
-115.180752,49.423325,Ursus arctos,Amelie
-115.180798,49.423458,Ursus arctos,Amelie
-115.18097,49.423247,Ursus arctos,Amelie
-115.181137,49.423155,Ursus arctos,Amelie
-115.181155,49.42341,Ursus arctos,Amelie
-115.182405,49.422248,Ursus arctos,Amelie
-115.183012,49.42537,Ursus arctos,Amelie
-115.186988,49.424853,Ursus arctos,Amelie
-115.18342,49.42903,Ursus arctos,Amelie
-115.191013,49.429177,Ursus arctos,Amelie
-115.191027,49.431703,Ursus arctos,Amelie
-115.180667,49.434828,Ursus arctos,Amelie
-115.180742,49.434787,Ursus arctos,Amelie
-115.181,49.43494,Ursus arctos,Amelie
-115.180803,49.434823,Ursus arctos,Amelie
-115.180828,49.436063,Ursus arctos,Amelie
-115.18304,49.443585,Ursus arctos,Amelie
-115.184297,49.443723,Ursus arctos,Amelie
-115.185555,49.446123,Ursus arctos,Amelie
-115.190163,49.44533,Ursus arctos,Amelie
-115.191045,49.444228,Ursus arctos,Amelie
-115.192272,49.442073,Ursus arctos,Amelie
-115.197013,49.44147,Ursus arctos,Amelie
-115.194675,49.437883,Ursus arctos,Amelie
-115.194513,49.437907,Ursus arctos,Amelie
-115.194567,49.437927,Ursus arctos,Amelie
-115.194678,49.437932,Ursus arctos,Amelie
-115.194605,49.437808,Ursus arctos,Amelie
-115.199657,49.436978,Ursus arctos,Amelie
-115.199652,49.43819,Ursus arctos,Amelie
-115.197515,49.442175,Ursus arctos,Amelie
-115.19846,49.43884,Ursus arctos,Amelie
-115.195213,49.442098,Ursus arctos,Amelie
-115.184735,49.444558,Ursus arctos,Amelie
-115.145107,49.42251,Ursus arctos,Amelie
-115.122747,49.407348,Ursus arctos,Amelie
-115.12241,49.407283,Ursus arctos,Amelie
-115.122635,49.407363,Ursus arctos,Amelie
-115.122485,49.407507,Ursus arctos,Amelie
-115.122775,49.407398,Ursus arctos,Amelie
-115.105642,49.389957,Ursus arctos,Amelie
-115.131455,49.390113,Ursus arctos,Amelie
-115.169497,49.411022,Ursus arctos,Amelie
-115.174222,49.424468,Ursus arctos,Amelie
-115.177753,49.424447,Ursus arctos,Amelie
-115.177152,49.424265,Ursus arctos,Amelie
-115.177078,49.424627,Ursus arctos,Amelie
-115.177217,49.424332,Ursus arctos,Amelie
-115.177218,49.42431,Ursus arctos,Amelie
-115.177215,49.424422,Ursus arctos,Amelie
-115.176377,49.424355,Ursus arctos,Amelie
-115.176243,49.42445,Ursus arctos,Amelie
-115.17981,49.42613,Ursus arctos,Amelie
-115.181985,49.426152,Ursus arctos,Amelie
-115.185557,49.427085,Ursus arctos,Amelie
-115.189125,49.42977,Ursus arctos,Amelie
-115.190622,49.43024,Ursus arctos,Amelie
-115.188808,49.42736,Ursus arctos,Amelie
-115.187937,49.424473,Ursus arctos,Amelie
-115.204068,49.429263,Ursus arctos,Amelie
-115.206328,49.426817,Ursus arctos,Amelie
-115.20636,49.426793,Ursus arctos,Amelie
-115.206505,49.426828,Ursus arctos,Amelie
-115.213392,49.428825,Ursus arctos,Amelie
-115.214772,49.428435,Ursus arctos,Amelie
-115.215315,49.42862,Ursus arctos,Amelie
-115.218088,49.431172,Ursus arctos,Amelie
-115.21809,49.432288,Ursus arctos,Amelie
-115.224275,49.435823,Ursus arctos,Amelie
-115.228478,49.436912,Ursus arctos,Amelie
-115.228048,49.434232,Ursus arctos,Amelie
-115.226852,49.4339,Ursus arctos,Amelie
-115.226663,49.433873,Ursus arctos,Amelie
-115.226652,49.433915,Ursus arctos,Amelie
-115.22654,49.43386,Ursus arctos,Amelie
-115.226732,49.433887,Ursus arctos,Amelie
-115.21729,49.435155,Ursus arctos,Amelie
-115.214543,49.43186,Ursus arctos,Amelie
-115.214223,49.431357,Ursus arctos,Amelie
-115.21355,49.431882,Ursus arctos,Amelie
-115.215258,49.431942,Ursus arctos,Amelie
-115.216047,49.43208,Ursus arctos,Amelie
-115.218057,49.428685,Ursus arctos,Amelie
-115.217437,49.43047,Ursus arctos,Amelie
-115.21735,49.430447,Ursus arctos,Amelie
-115.217375,49.430488,Ursus arctos,Amelie
-115.217353,49.430502,Ursus arctos,Amelie
-115.217288,49.430405,Ursus arctos,Amelie
-115.215875,49.427648,Ursus arctos,Amelie
-115.218852,49.427125,Ursus arctos,Amelie
-115.217643,49.42375,Ursus arctos,Amelie
-115.220648,49.431815,Ursus arctos,Amelie
-115.215332,49.432493,Ursus arctos,Amelie
-115.214212,49.431453,Ursus arctos,Amelie
-115.21373,49.430912,Ursus arctos,Amelie
-115.20668,49.426038,Ursus arctos,Amelie
-115.206418,49.425835,Ursus arctos,Amelie
-115.206408,49.42581,Ursus arctos,Amelie
-115.206447,49.42588,Ursus arctos,Amelie
-115.203575,49.425092,Ursus arctos,Amelie
-115.20946,49.42488,Ursus arctos,Amelie
-115.20978,49.42404,Ursus arctos,Amelie
-115.207595,49.42318,Ursus arctos,Amelie
-115.204835,49.423357,Ursus arctos,Amelie
-115.20375,49.424182,Ursus arctos,Amelie
-115.203015,49.423208,Ursus arctos,Amelie
-115.200385,49.421508,Ursus arctos,Amelie
-115.189345,49.415343,Ursus arctos,Amelie
-115.188592,49.415222,Ursus arctos,Amelie
-115.188663,49.415278,Ursus arctos,Amelie
-115.188748,49.415112,Ursus arctos,Amelie
-115.188638,49.415027,Ursus arctos,Amelie
-115.186595,49.41393,Ursus arctos,Amelie
-115.186503,49.421515,Ursus arctos,Amelie
-115.221233,49.423592,Ursus arctos,Amelie
-115.218923,49.428695,Ursus arctos,Amelie
-115.218582,49.431403,Ursus arctos,Amelie
-115.228997,49.436468,Ursus arctos,Amelie
-115.228108,49.437443,Ursus arctos,Amelie
-115.223425,49.437313,Ursus arctos,Amelie
-115.223352,49.437277,Ursus arctos,Amelie
-115.223323,49.437312,Ursus arctos,Amelie
-115.223628,49.437403,Ursus arctos,Amelie
-115.223405,49.437333,Ursus arctos,Amelie
-115.214835,49.428845,Ursus arctos,Amelie
-115.215308,49.428758,Ursus arctos,Amelie
-115.2162,49.428223,Ursus arctos,Amelie
-115.213872,49.425033,Ursus arctos,Amelie
-115.228808,49.420817,Ursus arctos,Amelie
-115.218572,49.428205,Ursus arctos,Amelie
-115.216457,49.429098,Ursus arctos,Amelie
-115.217737,49.420807,Ursus arctos,Amelie
-115.217585,49.420883,Ursus arctos,Amelie
-115.217637,49.420813,Ursus arctos,Amelie
-115.217623,49.420883,Ursus arctos,Amelie
-115.217648,49.420872,Ursus arctos,Amelie
-115.221038,49.428625,Ursus arctos,Amelie
-115.216258,49.429098,Ursus arctos,Amelie
-115.215113,49.424555,Ursus arctos,Amelie
-115.175212,49.427663,Ursus arctos,Amelie
-115.163723,49.431198,Ursus arctos,Amelie
-115.16812,49.428353,Ursus arctos,Amelie
-115.176415,49.426298,Ursus arctos,Amelie
-115.1762,49.42445,Ursus arctos,Amelie
-115.176338,49.424377,Ursus arctos,Amelie
-115.175985,49.424337,Ursus arctos,Amelie
-115.176287,49.424472,Ursus arctos,Amelie
-115.176308,49.424395,Ursus arctos,Amelie
-115.179718,49.423955,Ursus arctos,Amelie
-115.185837,49.433777,Ursus arctos,Amelie
-115.184548,49.444918,Ursus arctos,Amelie
-115.189725,49.444945,Ursus arctos,Amelie
-115.191083,49.444053,Ursus arctos,Amelie
-115.192407,49.441992,Ursus arctos,Amelie
-115.196193,49.437333,Ursus arctos,Amelie
-115.194457,49.437427,Ursus arctos,Amelie
-115.1943,49.437402,Ursus arctos,Amelie
-115.194418,49.437325,Ursus arctos,Amelie
-115.194447,49.437362,Ursus arctos,Amelie
-115.194572,49.43773,Ursus arctos,Amelie
-115.20003,49.436408,Ursus arctos,Amelie
-115.20147,49.436035,Ursus arctos,Amelie
-115.197368,49.439978,Ursus arctos,Amelie
-115.189463,49.439782,Ursus arctos,Amelie
-115.188198,49.441222,Ursus arctos,Amelie
-115.184922,49.443687,Ursus arctos,Amelie
-115.182458,49.443775,Ursus arctos,Amelie
-115.185737,49.445177,Ursus arctos,Amelie
-115.185722,49.445157,Ursus arctos,Amelie
-115.185813,49.445135,Ursus arctos,Amelie
-115.185783,49.445138,Ursus arctos,Amelie
-115.185602,49.444967,Ursus arctos,Amelie
-115.1879,49.440407,Ursus arctos,Amelie
-115.184763,49.444108,Ursus arctos,Amelie
-115.18218,49.448863,Ursus arctos,Amelie
-115.178117,49.449217,Ursus arctos,Amelie
-115.180133,49.448518,Ursus arctos,Amelie
-115.180312,49.448385,Ursus arctos,Amelie
-115.185005,49.438598,Ursus arctos,Amelie
-115.181765,49.43526,Ursus arctos,Amelie
-115.182162,49.435337,Ursus arctos,Amelie
-115.181725,49.43539,Ursus arctos,Amelie
-115.182067,49.435445,Ursus arctos,Amelie
-115.181667,49.435358,Ursus arctos,Amelie
-115.191067,49.432165,Ursus arctos,Amelie
-115.187292,49.423712,Ursus arctos,Amelie
-115.179418,49.42396,Ursus arctos,Amelie
-115.177823,49.42469,Ursus arctos,Amelie
-115.144927,49.431242,Ursus arctos,Amelie
-115.12436,49.439188,Ursus arctos,Amelie
-115.114538,49.440325,Ursus arctos,Amelie
-115.115965,49.441287,Ursus arctos,Amelie
-115.115915,49.441395,Ursus arctos,Amelie
-115.115768,49.441535,Ursus arctos,Amelie
-115.116067,49.44131,Ursus arctos,Amelie
-115.115945,49.441365,Ursus arctos,Amelie
-115.128352,49.445925,Ursus arctos,Amelie
-115.181903,49.439473,Ursus arctos,Amelie
-115.184102,49.443527,Ursus arctos,Amelie
-115.186128,49.446092,Ursus arctos,Amelie
-115.189673,49.444898,Ursus arctos,Amelie
-115.189213,49.44011,Ursus arctos,Amelie
-115.188157,49.440452,Ursus arctos,Amelie
-115.18923,49.439477,Ursus arctos,Amelie
-115.189177,49.439432,Ursus arctos,Amelie
-115.189088,49.439322,Ursus arctos,Amelie
-115.189228,49.439423,Ursus arctos,Amelie
-115.189195,49.439317,Ursus arctos,Amelie
-115.18844,49.437163,Ursus arctos,Amelie
-115.188457,49.436393,Ursus arctos,Amelie
-115.181773,49.431907,Ursus arctos,Amelie
-115.173805,49.424448,Ursus arctos,Amelie
-115.165012,49.428023,Ursus arctos,Amelie
-115.178663,49.424073,Ursus arctos,Amelie
-115.194725,49.42158,Ursus arctos,Amelie
-115.213412,49.42311,Ursus arctos,Amelie
-115.213163,49.423308,Ursus arctos,Amelie
-115.213373,49.42317,Ursus arctos,Amelie
-115.213592,49.423293,Ursus arctos,Amelie
-115.213355,49.423098,Ursus arctos,Amelie
-115.21514,49.428603,Ursus arctos,Amelie
-115.215583,49.432318,Ursus arctos,Amelie
-115.22654,49.43852,Ursus arctos,Amelie
-115.23155,49.434422,Ursus arctos,Amelie
-115.204817,49.416317,Ursus arctos,Amelie
-115.191103,49.431065,Ursus arctos,Amelie
-115.188258,49.434222,Ursus arctos,Amelie
-115.19244,49.43569,Ursus arctos,Amelie
-115.192585,49.43568,Ursus arctos,Amelie
-115.19353,49.43581,Ursus arctos,Amelie
-115.192538,49.435728,Ursus arctos,Amelie
-115.192433,49.435682,Ursus arctos,Amelie
-115.190713,49.436102,Ursus arctos,Amelie
-115.192217,49.43516,Ursus arctos,Amelie
-115.187623,49.435708,Ursus arctos,Amelie
-115.184357,49.43575,Ursus arctos,Amelie
-115.184182,49.434442,Ursus arctos,Amelie
-115.186593,49.436653,Ursus arctos,Amelie
-115.192087,49.43569,Ursus arctos,Amelie
-115.192235,49.43557,Ursus arctos,Amelie
-115.192385,49.435695,Ursus arctos,Amelie
-115.193165,49.435837,Ursus arctos,Amelie
-115.192465,49.435698,Ursus arctos,Amelie
-115.192415,49.435735,Ursus arctos,Amelie
-115.192612,49.434692,Ursus arctos,Amelie
-115.191358,49.434275,Ursus arctos,Amelie
-115.187153,49.435458,Ursus arctos,Amelie
-115.168373,49.43076,Ursus arctos,Amelie
-115.16038,49.43226,Ursus arctos,Amelie
-115.169537,49.417702,Ursus arctos,Amelie
-115.183365,49.423587,Ursus arctos,Amelie
-115.185825,49.425013,Ursus arctos,Amelie
-115.185883,49.42504,Ursus arctos,Amelie
-115.185958,49.424943,Ursus arctos,Amelie
-115.186083,49.425065,Ursus arctos,Amelie
-115.195328,49.429125,Ursus arctos,Amelie
-115.191072,49.431767,Ursus arctos,Amelie
-115.190108,49.432148,Ursus arctos,Amelie
-115.185093,49.434455,Ursus arctos,Amelie
-115.184,49.437045,Ursus arctos,Amelie
-115.185932,49.43815,Ursus arctos,Amelie
-115.190772,49.439523,Ursus arctos,Amelie
-115.18961,49.441025,Ursus arctos,Amelie
-115.189508,49.441083,Ursus arctos,Amelie
-115.189568,49.441067,Ursus arctos,Amelie
-115.189577,49.441137,Ursus arctos,Amelie
-115.189555,49.441085,Ursus arctos,Amelie
-115.200325,49.435323,Ursus arctos,Amelie
-115.193808,49.434797,Ursus arctos,Amelie
-115.194093,49.433383,Ursus arctos,Amelie
-115.194752,49.432505,Ursus arctos,Amelie
-115.1897,49.426215,Ursus arctos,Amelie
-115.174162,49.424327,Ursus arctos,Amelie
-115.16364,49.407512,Ursus arctos,Amelie
-115.163717,49.407515,Ursus arctos,Amelie
-115.163852,49.407697,Ursus arctos,Amelie
-115.16397,49.407458,Ursus arctos,Amelie
-115.163998,49.407642,Ursus arctos,Amelie
-115.166315,49.407627,Ursus arctos,Amelie
-115.171402,49.41856,Ursus arctos,Amelie
-115.179658,49.423617,Ursus arctos,Amelie
-115.188335,49.420098,Ursus arctos,Amelie
-115.18916,49.421052,Ursus arctos,Amelie
-115.19689,49.42333,Ursus arctos,Amelie
-115.195955,49.420233,Ursus arctos,Amelie
-115.199617,49.415088,Ursus arctos,Amelie
-115.199615,49.415183,Ursus arctos,Amelie
-115.19975,49.415123,Ursus arctos,Amelie
-115.199668,49.415283,Ursus arctos,Amelie
-115.199645,49.415207,Ursus arctos,Amelie
-115.202665,49.416362,Ursus arctos,Amelie
-115.200343,49.420852,Ursus arctos,Amelie
-115.196203,49.424422,Ursus arctos,Amelie
-115.191712,49.423228,Ursus arctos,Amelie
-115.194968,49.422893,Ursus arctos,Amelie
-115.202967,49.413427,Ursus arctos,Amelie
-115.202703,49.413257,Ursus arctos,Amelie
-115.202633,49.41323,Ursus arctos,Amelie
-115.202653,49.413205,Ursus arctos,Amelie
-115.202732,49.413102,Ursus arctos,Amelie
-115.202843,49.41337,Ursus arctos,Amelie
-115.202615,49.413222,Ursus arctos,Amelie
-115.202845,49.415887,Ursus arctos,Amelie
-115.19725,49.423445,Ursus arctos,Amelie
-115.19786,49.423542,Ursus arctos,Amelie
-115.196815,49.425698,Ursus arctos,Amelie
-115.196508,49.42624,Ursus arctos,Amelie
-115.186992,49.420905,Ursus arctos,Amelie
-115.201227,49.414507,Ursus arctos,Amelie
-115.201623,49.414747,Ursus arctos,Amelie
-115.201722,49.414803,Ursus arctos,Amelie
-115.201765,49.414803,Ursus arctos,Amelie
-115.20158,49.414757,Ursus arctos,Amelie
-115.20148,49.41478,Ursus arctos,Amelie
-115.201807,49.419962,Ursus arctos,Amelie
-115.219208,49.43058,Ursus arctos,Amelie
-115.214548,49.431248,Ursus arctos,Amelie
-115.202518,49.435363,Ursus arctos,Amelie
-115.20176,49.435633,Ursus arctos,Amelie
-115.199778,49.43658,Ursus arctos,Amelie
-115.199638,49.436223,Ursus arctos,Amelie
-115.199702,49.436388,Ursus arctos,Amelie
-115.199735,49.436255,Ursus arctos,Amelie
-115.19969,49.436322,Ursus arctos,Amelie
-115.199708,49.436332,Ursus arctos,Amelie
-115.197767,49.437092,Ursus arctos,Amelie
-115.199783,49.436993,Ursus arctos,Amelie
-115.198878,49.43761,Ursus arctos,Amelie
-115.198487,49.437667,Ursus arctos,Amelie
-115.202253,49.436237,Ursus arctos,Amelie
-115.19302,49.43424,Ursus arctos,Amelie
-115.197142,49.431787,Ursus arctos,Amelie
-115.199625,49.432062,Ursus arctos,Amelie
-115.199752,49.432088,Ursus arctos,Amelie
-115.199638,49.43206,Ursus arctos,Amelie
-115.199658,49.432115,Ursus arctos,Amelie
-115.199455,49.432095,Ursus arctos,Amelie
-115.19569,49.430993,Ursus arctos,Amelie
-115.19383,49.428508,Ursus arctos,Amelie
-115.190847,49.419577,Ursus arctos,Amelie
-115.192722,49.425147,Ursus arctos,Amelie
-115.194268,49.428762,Ursus arctos,Amelie
-115.191247,49.435293,Ursus arctos,Amelie
-115.192353,49.435595,Ursus arctos,Amelie
-115.19247,49.43567,Ursus arctos,Amelie
-115.192495,49.43569,Ursus arctos,Amelie
-115.1925,49.43562,Ursus arctos,Amelie
-115.192547,49.435623,Ursus arctos,Amelie
-115.192508,49.435677,Ursus arctos,Amelie
-115.193855,49.433358,Ursus arctos,Amelie
-115.190285,49.434487,Ursus arctos,Amelie
-115.19331,49.434585,Ursus arctos,Amelie
-115.194303,49.434203,Ursus arctos,Amelie
-115.194183,49.432233,Ursus arctos,Amelie
-115.201728,49.430707,Ursus arctos,Amelie
-115.21924,49.420625,Ursus arctos,Amelie
-115.222228,49.419865,Ursus arctos,Amelie
-115.22213,49.419855,Ursus arctos,Amelie
-115.222198,49.419808,Ursus arctos,Amelie
-115.222147,49.419943,Ursus arctos,Amelie
-115.22216,49.419705,Ursus arctos,Amelie
-115.204135,49.423998,Ursus arctos,Amelie
-115.194165,49.428607,Ursus arctos,Amelie
-115.190943,49.432402,Ursus arctos,Amelie
-115.186653,49.436312,Ursus arctos,Amelie
-115.189193,49.439963,Ursus arctos,Amelie
-115.189338,49.435277,Ursus arctos,Amelie
-115.192613,49.435038,Ursus arctos,Amelie
-115.192605,49.435652,Ursus arctos,Amelie
-115.192568,49.435637,Ursus arctos,Amelie
-115.192398,49.435617,Ursus arctos,Amelie
-115.192547,49.435643,Ursus arctos,Amelie
-115.192487,49.435612,Ursus arctos,Amelie
-115.191215,49.432945,Ursus arctos,Amelie
-115.193832,49.432592,Ursus arctos,Amelie
-115.190293,49.432515,Ursus arctos,Amelie
-115.194563,49.42883,Ursus arctos,Amelie
-115.195727,49.426903,Ursus arctos,Amelie
-115.199353,49.428362,Ursus arctos,Amelie
-115.198375,49.41472,Ursus arctos,Amelie
-115.198593,49.411485,Ursus arctos,Amelie
-115.198537,49.411552,Ursus arctos,Amelie
-115.198567,49.411598,Ursus arctos,Amelie
-115.19845,49.41137,Ursus arctos,Amelie
-115.198592,49.411598,Ursus arctos,Amelie
-115.191808,49.40256,Ursus arctos,Amelie
-115.208087,49.406542,Ursus arctos,Amelie
-115.183002,49.404923,Ursus arctos,Amelie
-115.162622,49.4081,Ursus arctos,Amelie
-115.149725,49.399053,Ursus arctos,Amelie
-115.151452,49.386993,Ursus arctos,Amelie
-115.125537,49.372883,Ursus arctos,Amelie
-115.119088,49.370108,Ursus arctos,Amelie
-115.118985,49.370115,Ursus arctos,Amelie
-115.11896,49.37017,Ursus arctos,Amelie
-115.119045,49.370115,Ursus arctos,Amelie
-115.118955,49.370102,Ursus arctos,Amelie
-115.117947,49.369488,Ursus arctos,Amelie
-115.111042,49.357745,Ursus arctos,Amelie
-115.124938,49.344113,Ursus arctos,Amelie
-115.128683,49.348593,Ursus arctos,Amelie
-115.128245,49.349218,Ursus arctos,Amelie
-115.1427,49.367453,Ursus arctos,Amelie
-115.149287,49.368415,Ursus arctos,Amelie
-115.149277,49.368562,Ursus arctos,Amelie
-115.149457,49.368475,Ursus arctos,Amelie
-115.149282,49.368365,Ursus arctos,Amelie
-115.149438,49.36836,Ursus arctos,Amelie
-115.148563,49.368348,Ursus arctos,Amelie
-115.154038,49.374622,Ursus arctos,Amelie
-115.153398,49.375767,Ursus arctos,Amelie
-115.153307,49.375745,Ursus arctos,Amelie
-115.153398,49.3757,Ursus arctos,Amelie
-115.153378,49.375773,Ursus arctos,Amelie
-115.153467,49.375805,Ursus arctos,Amelie
-115.153258,49.375663,Ursus arctos,Amelie
-115.15343,49.375663,Ursus arctos,Amelie
-115.153577,49.375675,Ursus arctos,Amelie
-115.153338,49.375653,Ursus arctos,Amelie
-115.153338,49.375855,Ursus arctos,Amelie
-115.153455,49.37563,Ursus arctos,Amelie
-115.15335,49.375695,Ursus arctos,Amelie
-115.153345,49.375753,Ursus arctos,Amelie
-115.153262,49.37573,Ursus arctos,Amelie
-115.153345,49.375737,Ursus arctos,Amelie
-115.153322,49.375753,Ursus arctos,Amelie
-115.153518,49.375868,Ursus arctos,Amelie
-115.15346,49.37573,Ursus arctos,Amelie
-115.153217,49.37585,Ursus arctos,Amelie
-115.153317,49.375738,Ursus arctos,Amelie
-115.153332,49.375773,Ursus arctos,Amelie
-115.153358,49.375708,Ursus arctos,Amelie
-115.153468,49.375738,Ursus arctos,Amelie
-115.153407,49.37572,Ursus arctos,Amelie
-115.15332,49.375708,Ursus arctos,Amelie
-115.153367,49.375702,Ursus arctos,Amelie
-115.153282,49.375805,Ursus arctos,Amelie
-115.153297,49.375833,Ursus arctos,Amelie
-115.153337,49.375782,Ursus arctos,Amelie
-115.153325,49.375692,Ursus arctos,Amelie
-115.153263,49.375713,Ursus arctos,Amelie
-115.153402,49.37578,Ursus arctos,Amelie
-115.153275,49.375757,Ursus arctos,Amelie
-115.153388,49.375743,Ursus arctos,Amelie
-115.153453,49.375745,Ursus arctos,Amelie
-115.153253,49.375638,Ursus arctos,Amelie
-115.15339,49.375687,Ursus arctos,Amelie
-115.153157,49.375913,Ursus arctos,Amelie
